Brand,Model,Year,Engine_Size,Fuel_Type,Transmission,Mileage,Owner_Count,Price
Chevrolet,Equinox,2013,1.9,Hybrid,Automatic,121816,4,9963
Hyundai,Tucson,2007,3.9,Electric,Automatic,213643,5,9327
Volkswagen,Passat,2008,3.5,Electric,Manual,88381,1,10232
Chevrolet,Impala,2017,2.3,Petrol,Automatic,183619,1,9327
Mercedes,GLA,2013,3.3,Electric,Semi-Automatic,80184,5,11696
Toyota,Corolla,2010,3.2,Diesel,Automatic,132454,4,9150
Kia,Optima,2005,4.5,Petrol,Manual,18590,5,9728
Audi,Q5,2013,3.5,Hybrid,Semi-Automatic,263411,1,7231
Kia,Sportage,2000,1.4,Electric,Manual,167050,4,4159
Ford,Fiesta,2017,2.2,Hybrid,Manual,277363,4,6852
Audi,A4,2004,1.0,Petrol,Manual,94415,1,4411
Ford,Focus,2004,1.2,Electric,Manual,93645,3,6627
BMW,5 Series,2007,4.9,Petrol,Manual,120491,1,8690
Honda,Civic,2000,3.9,Hybrid,Manual,56020,4,7879
Toyota,RAV4,2003,3.9,Electric,Automatic,131868,3,9762
Audi,Q5,2023,3.6,Electric,Manual,238306,2,11833
Ford,Focus,2011,2.3,Diesel,Automatic,255372,5,6092
Audi,A4,2009,2.4,Diesel,Manual,263797,5,3924
Hyundai,Elantra,2006,2.8,Electric,Manual,110280,3,8494
Audi,A3,2009,1.2,Electric,Automatic,111448,1,9271
Mercedes,GLA,2013,1.9,Petrol,Manual,205005,2,5799
Mercedes,E-Class,2004,4.9,Petrol,Semi-Automatic,175273,5,6694
Mercedes,GLA,2022,3.8,Diesel,Manual,191466,2,10670
Ford,Focus,2008,1.8,Electric,Semi-Automatic,280713,1,4685
Honda,Civic,2015,2.6,Electric,Semi-Automatic,66777,1,11864
Kia,Optima,2020,3.2,Electric,Manual,88070,5,13538
BMW,3 Series,2011,2.9,Electric,Semi-Automatic,281020,5,6679
Chevrolet,Impala,2017,1.8,Diesel,Semi-Automatic,22175,2,10556
Volkswagen,Passat,2003,2.0,Electric,Manual,287728,3,3245
Hyundai,Sonata,2007,3.6,Electric,Automatic,102907,3,11241
Honda,Civic,2005,2.4,Petrol,Automatic,60316,5,8293
Toyota,Camry,2008,1.3,Petrol,Automatic,188097,2,5538
Ford,Fiesta,2004,4.0,Diesel,Automatic,85348,3,9093
Ford,Focus,2015,4.8,Electric,Automatic,100603,2,14887
Mercedes,C-Class,2007,2.7,Hybrid,Manual,147310,2,6953
Mercedes,GLA,2011,4.0,Diesel,Manual,140263,5,8594
Volkswagen,Passat,2005,3.2,Electric,Semi-Automatic,155550,4,7689
Volkswagen,Golf,2000,4.0,Hybrid,Manual,237232,5,4355
Ford,Fiesta,2002,4.0,Hybrid,Semi-Automatic,272351,3,4252
Kia,Optima,2008,4.6,Petrol,Manual,164879,4,7802
Hyundai,Tucson,2018,2.8,Petrol,Manual,160349,3,9093
Hyundai,Elantra,2007,1.5,Diesel,Manual,30793,1,7084
BMW,3 Series,2019,1.9,Electric,Automatic,6745,1,15065
Toyota,Camry,2007,4.9,Hybrid,Manual,23217,4,11635
Kia,Sportage,2017,2.7,Hybrid,Automatic,242456,5,9550
Hyundai,Sonata,2017,1.3,Hybrid,Automatic,152123,5,9957
Honda,CR-V,2022,3.4,Diesel,Automatic,248894,2,10622
Mercedes,GLA,2007,2.3,Electric,Manual,76458,5,8970
BMW,X5,2017,3.9,Hybrid,Semi-Automatic,2020,2,14059
Hyundai,Sonata,2018,2.0,Hybrid,Automatic,121567,4,11568
Volkswagen,Golf,2023,3.5,Petrol,Semi-Automatic,139477,5,11710
Ford,Fiesta,2007,4.5,Electric,Manual,53088,2,11638
Volkswagen,Tiguan,2020,1.7,Petrol,Automatic,195565,5,9388
Audi,A4,2004,4.8,Hybrid,Semi-Automatic,141850,2,8263
Honda,Civic,2020,4.6,Petrol,Manual,191397,4,10872
Hyundai,Tucson,2015,1.6,Electric,Manual,259533,4,7009
Mercedes,C-Class,2015,4.1,Petrol,Automatic,197249,1,10255
Volkswagen,Passat,2007,3.8,Electric,Manual,272609,5,6547
Ford,Focus,2013,1.1,Diesel,Manual,294516,1,3209
Kia,Sportage,2001,2.9,Diesel,Manual,258813,5,2123
Toyota,Corolla,2014,4.1,Petrol,Automatic,17100,5,13558
Kia,Optima,2017,4.6,Diesel,Manual,197307,1,9853
BMW,X5,2007,4.2,Petrol,Automatic,129851,4,9302
Mercedes,E-Class,2011,1.8,Diesel,Semi-Automatic,261247,4,3975
Audi,Q5,2016,2.5,Electric,Semi-Automatic,121855,5,10962
BMW,3 Series,2011,2.6,Petrol,Manual,107928,2,7841
Volkswagen,Passat,2011,4.7,Petrol,Automatic,203960,3,9520
BMW,5 Series,2009,3.0,Electric,Manual,17260,5,11454
Audi,A3,2022,3.8,Electric,Semi-Automatic,275109,5,10997
Toyota,Corolla,2016,2.8,Hybrid,Semi-Automatic,203314,3,8633
Toyota,Corolla,2014,2.8,Hybrid,Automatic,190214,2,9795
Ford,Explorer,2013,5.0,Electric,Automatic,188195,3,12736
Audi,A4,2010,2.0,Hybrid,Manual,228204,4,5535
BMW,5 Series,2001,2.3,Diesel,Semi-Automatic,66264,1,5374
Toyota,Camry,2022,4.5,Electric,Semi-Automatic,162696,2,13946
Chevrolet,Malibu,2005,2.2,Diesel,Manual,191462,4,3970
Honda,Accord,2001,4.0,Diesel,Manual,8958,1,8220
Hyundai,Elantra,2012,2.6,Hybrid,Manual,11213,5,11075
Honda,Accord,2003,3.8,Electric,Semi-Automatic,236022,2,6079
Chevrolet,Equinox,2019,3.9,Hybrid,Semi-Automatic,13333,1,14433
Mercedes,C-Class,2023,4.6,Electric,Semi-Automatic,274137,3,12117
Volkswagen,Passat,2010,3.4,Diesel,Manual,8662,3,10326
BMW,3 Series,2018,2.3,Electric,Semi-Automatic,99243,3,11815
Ford,Fiesta,2013,3.5,Hybrid,Semi-Automatic,167809,3,9143
Honda,CR-V,2018,3.0,Hybrid,Semi-Automatic,180938,3,9881
Mercedes,C-Class,2018,4.0,Petrol,Manual,66347,2,12173
Honda,Civic,2007,1.4,Petrol,Manual,279031,3,2019
Chevrolet,Equinox,2013,2.8,Petrol,Manual,63430,5,9531
BMW,3 Series,2014,2.1,Petrol,Manual,191744,1,6565
Mercedes,E-Class,2023,3.9,Hybrid,Semi-Automatic,58107,2,14737
BMW,X5,2002,4.5,Diesel,Manual,86763,5,7464
Volkswagen,Golf,2020,3.8,Diesel,Automatic,257521,3,10249
Toyota,Corolla,2013,4.0,Diesel,Manual,213052,4,7738
BMW,3 Series,2017,1.9,Petrol,Semi-Automatic,117943,4,8741
Volkswagen,Tiguan,2008,4.5,Electric,Semi-Automatic,178837,4,9423
Toyota,Corolla,2002,3.9,Diesel,Semi-Automatic,281616,3,2967
Chevrolet,Malibu,2013,1.4,Diesel,Automatic,131485,5,8270
Audi,A4,2013,3.9,Electric,Manual,21399,3,13472
Mercedes,C-Class,2020,3.7,Petrol,Semi-Automatic,148489,5,10830
Chevrolet,Equinox,2017,3.1,Electric,Manual,189399,4,10512
Volkswagen,Tiguan,2008,3.5,Petrol,Semi-Automatic,179107,3,6417
Volkswagen,Passat,2015,4.7,Diesel,Manual,220366,1,8892
Kia,Optima,2020,4.7,Petrol,Manual,132200,1,12156
Chevrolet,Impala,2009,1.8,Diesel,Automatic,151249,1,7075
Chevrolet,Impala,2009,2.0,Petrol,Manual,184695,1,5106
Volkswagen,Golf,2001,4.1,Petrol,Automatic,32602,4,9347
Audi,A3,2013,3.2,Electric,Manual,253611,4,8127
Toyota,RAV4,2020,4.3,Hybrid,Manual,187223,3,11655
Mercedes,E-Class,2004,3.0,Hybrid,Manual,232438,3,4651
Toyota,Camry,2019,4.7,Petrol,Manual,114139,4,12217
Toyota,RAV4,2004,1.3,Electric,Automatic,79437,4,8511
Honda,Accord,2019,2.2,Diesel,Manual,127801,5,9443
Toyota,Camry,2002,1.5,Petrol,Automatic,23115,1,7237
Kia,Optima,2010,3.9,Petrol,Automatic,26930,3,11961
Toyota,RAV4,2021,2.1,Petrol,Manual,289967,3,6700
Ford,Focus,2001,3.2,Petrol,Manual,42064,3,6758
Hyundai,Sonata,2018,3.5,Electric,Manual,233614,2,10327
Ford,Explorer,2023,4.1,Electric,Automatic,67072,3,17258
BMW,X5,2017,2.5,Electric,Manual,256380,1,8572
Mercedes,C-Class,2010,1.9,Petrol,Semi-Automatic,159546,4,5809
Mercedes,E-Class,2014,3.8,Electric,Semi-Automatic,5877,5,13982
Hyundai,Tucson,2002,4.9,Hybrid,Automatic,33244,2,11435
Chevrolet,Impala,2013,4.8,Petrol,Manual,206381,4,8672
Honda,Civic,2016,4.0,Diesel,Automatic,175833,5,10883
Hyundai,Tucson,2005,3.6,Petrol,Semi-Automatic,157073,1,6058
BMW,3 Series,2015,2.9,Electric,Automatic,131766,3,12364
Ford,Explorer,2001,2.2,Petrol,Manual,18630,5,6227
Audi,A4,2015,2.1,Diesel,Automatic,54522,5,11109
Mercedes,GLA,2013,1.4,Electric,Semi-Automatic,231290,3,6774
Kia,Optima,2000,3.7,Electric,Manual,166776,2,6464
Audi,A3,2002,4.0,Diesel,Manual,16302,2,8373
Audi,Q5,2015,2.9,Hybrid,Semi-Automatic,252824,1,7443
Kia,Sportage,2007,1.2,Hybrid,Automatic,269614,4,4507
Kia,Sportage,2000,2.8,Electric,Semi-Automatic,264697,5,3606
Honda,CR-V,2014,4.0,Petrol,Manual,287926,2,6541
Audi,A3,2001,1.8,Petrol,Automatic,43196,2,6836
Toyota,RAV4,2001,4.5,Diesel,Semi-Automatic,279971,1,3300
Hyundai,Sonata,2009,1.0,Petrol,Manual,286745,5,2065
Mercedes,C-Class,2011,2.3,Electric,Semi-Automatic,885,2,11682
Honda,Civic,2013,3.5,Hybrid,Semi-Automatic,93273,4,10634
BMW,X5,2004,3.7,Diesel,Semi-Automatic,110947,2,6781
Honda,CR-V,2018,1.2,Petrol,Manual,166808,2,7363
Audi,Q5,2022,3.8,Diesel,Automatic,186035,3,12279
Ford,Fiesta,2005,1.0,Hybrid,Semi-Automatic,68819,3,6223
Chevrolet,Impala,2018,3.7,Petrol,Semi-Automatic,157181,2,10056
Mercedes,C-Class,2007,3.9,Petrol,Semi-Automatic,97350,3,8153
Volkswagen,Passat,2016,3.5,Diesel,Manual,271497,4,6970
Toyota,RAV4,2013,4.3,Electric,Semi-Automatic,225452,5,9790
Kia,Optima,2010,3.8,Petrol,Automatic,51040,2,11379
Volkswagen,Golf,2012,4.2,Electric,Semi-Automatic,7544,5,13749
Chevrolet,Equinox,2009,2.6,Hybrid,Semi-Automatic,264411,1,5111
BMW,X5,2012,4.3,Petrol,Manual,153919,2,8921
Honda,CR-V,2010,1.7,Petrol,Manual,115344,5,6493
Kia,Rio,2009,2.9,Diesel,Semi-Automatic,106781,2,7564
Hyundai,Sonata,2011,1.0,Petrol,Manual,279545,3,2809
Hyundai,Sonata,2020,1.7,Petrol,Manual,11757,1,11564
Audi,Q5,2014,2.4,Petrol,Semi-Automatic,230787,1,6084
Hyundai,Elantra,2020,3.7,Hybrid,Automatic,216478,1,11970
Mercedes,C-Class,2003,2.6,Diesel,Semi-Automatic,134567,2,4908
Mercedes,C-Class,2006,4.5,Electric,Manual,162852,3,9142
BMW,3 Series,2023,3.9,Hybrid,Semi-Automatic,112480,2,13650
Kia,Optima,2017,1.9,Electric,Automatic,60780,1,13384
Honda,CR-V,2012,3.2,Diesel,Automatic,21520,4,11969
BMW,5 Series,2017,2.1,Diesel,Automatic,199006,3,8819
Chevrolet,Equinox,2006,2.0,Hybrid,Automatic,11585,4,10168
Chevrolet,Equinox,2009,2.8,Electric,Manual,79962,2,10000
Volkswagen,Golf,2014,3.9,Electric,Automatic,95537,2,13789
Mercedes,GLA,2021,4.3,Diesel,Manual,229873,2,10102
Toyota,RAV4,2006,1.3,Hybrid,Manual,195129,5,4297
Chevrolet,Impala,2011,4.0,Hybrid,Automatic,136926,1,11161
Ford,Focus,2003,3.2,Petrol,Semi-Automatic,85005,1,6499
Audi,A4,2017,2.7,Electric,Automatic,172248,2,11955
Volkswagen,Golf,2017,4.3,Petrol,Automatic,179528,5,11409
Hyundai,Sonata,2014,2.3,Electric,Manual,1752,2,12564
Mercedes,GLA,2008,3.2,Electric,Manual,25557,4,11188
BMW,5 Series,2007,3.9,Hybrid,Automatic,211162,5,8376
Audi,A3,2014,4.0,Petrol,Automatic,182364,5,10152
Hyundai,Sonata,2010,1.6,Petrol,Automatic,112946,5,7941
Ford,Focus,2009,2.1,Petrol,Automatic,122067,4,7958
Toyota,RAV4,2008,3.5,Electric,Semi-Automatic,296747,1,6065
BMW,5 Series,2018,2.8,Petrol,Semi-Automatic,23722,5,11825
Hyundai,Elantra,2000,1.8,Petrol,Manual,161487,5,2670
Ford,Focus,2009,4.1,Petrol,Automatic,99562,2,10408
Kia,Optima,2018,1.9,Electric,Manual,107386,4,11252
Volkswagen,Golf,2021,4.0,Diesel,Automatic,32991,3,15240
Audi,A3,2017,1.7,Diesel,Manual,156940,2,7761
Toyota,Camry,2007,2.2,Diesel,Manual,87444,4,6651
BMW,5 Series,2009,1.4,Petrol,Manual,232049,2,3559
Ford,Focus,2009,1.2,Hybrid,Automatic,114668,4,8206
Toyota,Camry,2017,4.8,Electric,Semi-Automatic,297176,2,10056
Hyundai,Sonata,2011,4.1,Hybrid,Semi-Automatic,138965,4,9720
Volkswagen,Tiguan,2006,4.4,Petrol,Automatic,251894,4,6762
Toyota,Corolla,2006,2.8,Diesel,Semi-Automatic,174551,5,5208
BMW,5 Series,2011,3.0,Petrol,Automatic,260151,1,6696
Chevrolet,Malibu,2006,2.8,Petrol,Manual,253372,4,3632
Mercedes,GLA,2010,1.9,Hybrid,Manual,99563,5,8008
Ford,Fiesta,2014,3.9,Electric,Automatic,267949,2,10341
BMW,X5,2010,4.6,Diesel,Manual,79663,5,10106
Toyota,RAV4,2013,3.5,Electric,Automatic,85640,4,13287
Mercedes,E-Class,2001,4.4,Hybrid,Automatic,1937,4,11261
Ford,Fiesta,2014,3.2,Petrol,Automatic,253316,5,7933
Mercedes,E-Class,2007,3.2,Diesel,Semi-Automatic,203452,4,5330
Hyundai,Elantra,2022,4.2,Electric,Manual,181600,3,13268
BMW,X5,2002,2.9,Petrol,Manual,296864,2,2000
Kia,Sportage,2014,1.4,Hybrid,Semi-Automatic,262641,1,5447
Audi,Q5,2023,4.7,Electric,Automatic,222000,3,14760
Ford,Focus,2006,4.6,Petrol,Automatic,98002,4,10039
Kia,Sportage,2000,3.4,Hybrid,Manual,131933,1,5861
BMW,X5,2001,4.6,Diesel,Manual,287045,4,3259
Chevrolet,Malibu,2008,2.5,Petrol,Semi-Automatic,215987,3,4680
Honda,CR-V,2009,2.8,Diesel,Manual,201403,5,5571
BMW,3 Series,2021,3.9,Petrol,Manual,263073,3,9038
Audi,A3,2021,4.4,Diesel,Semi-Automatic,91956,2,12960
Kia,Sportage,2021,1.3,Hybrid,Manual,197902,5,8741
Toyota,RAV4,2006,1.0,Diesel,Automatic,107474,5,6250
BMW,5 Series,2011,1.1,Diesel,Automatic,178039,1,6439
BMW,5 Series,2009,4.0,Electric,Automatic,84645,2,12607
Kia,Optima,2020,4.1,Hybrid,Semi-Automatic,118504,4,12829
Honda,Accord,2009,2.7,Petrol,Manual,217224,5,5155
Toyota,Camry,2002,2.6,Petrol,Automatic,118041,4,6439
Audi,A4,2020,4.3,Diesel,Semi-Automatic,186962,5,10660
Mercedes,GLA,2023,1.3,Electric,Semi-Automatic,78961,2,12720
Mercedes,GLA,2010,1.0,Hybrid,Manual,296156,1,3176
Toyota,RAV4,2019,2.0,Petrol,Automatic,232074,5,8658
Ford,Explorer,2001,2.3,Electric,Manual,38542,2,7929
BMW,X5,2010,2.9,Diesel,Automatic,295058,1,5598
Toyota,Camry,2013,2.2,Hybrid,Manual,262285,4,5954
Ford,Explorer,2008,3.9,Electric,Semi-Automatic,225838,3,7883
Chevrolet,Equinox,2023,3.0,Hybrid,Automatic,230795,4,11884
Chevrolet,Malibu,2008,2.5,Petrol,Manual,94729,3,7105
Mercedes,C-Class,2022,3.1,Petrol,Automatic,282199,2,9656
Audi,A3,2006,2.6,Diesel,Automatic,282423,5,4351
Mercedes,C-Class,2004,4.0,Diesel,Manual,191859,5,5462
Ford,Fiesta,2004,2.2,Hybrid,Automatic,256459,5,4870
Kia,Sportage,2021,2.1,Electric,Semi-Automatic,74107,4,13017
Volkswagen,Golf,2019,3.9,Petrol,Manual,230974,3,9080
BMW,5 Series,2016,1.7,Petrol,Manual,56150,1,9477
Mercedes,C-Class,2010,4.7,Diesel,Semi-Automatic,256100,2,6678
Volkswagen,Golf,2006,2.7,Hybrid,Automatic,9512,1,10909
Audi,A3,2011,4.8,Petrol,Automatic,80241,3,12095
Audi,A4,2021,4.7,Diesel,Semi-Automatic,150713,4,12085
Audi,Q5,2018,1.7,Electric,Semi-Automatic,207019,3,9059
Audi,A3,2023,3.2,Petrol,Semi-Automatic,163039,3,10939
Toyota,Corolla,2000,2.0,Diesel,Manual,145101,5,3197
Ford,Focus,2016,1.4,Petrol,Semi-Automatic,278559,4,4728
Hyundai,Elantra,2017,4.2,Diesel,Automatic,269154,2,9516
Kia,Sportage,2010,2.3,Petrol,Manual,62065,2,8158
Audi,Q5,2023,1.9,Diesel,Manual,52679,3,11846
Toyota,Camry,2014,1.0,Petrol,Manual,177766,2,5744
Honda,Civic,2007,1.6,Electric,Manual,158154,4,6636
Chevrolet,Impala,2021,1.3,Electric,Automatic,52051,1,14158
Toyota,Camry,2023,1.5,Diesel,Manual,117049,5,10159
Toyota,Camry,2000,1.8,Electric,Automatic,271405,4,3971
Hyundai,Sonata,2010,2.6,Hybrid,Semi-Automatic,260006,3,5499
Toyota,RAV4,2012,1.7,Petrol,Manual,234785,1,4704
Kia,Optima,2009,1.6,Electric,Automatic,222076,4,7458
Volkswagen,Passat,2002,1.8,Petrol,Manual,194835,3,2603
Ford,Focus,2013,2.0,Diesel,Automatic,145970,2,8580
Ford,Fiesta,2011,1.4,Hybrid,Automatic,30785,3,10684
Audi,Q5,2015,3.7,Diesel,Semi-Automatic,57196,1,11156
Kia,Sportage,2019,4.0,Diesel,Semi-Automatic,50680,4,12786
Toyota,RAV4,2001,4.7,Diesel,Semi-Automatic,230052,3,4498
Honda,Civic,2019,4.2,Petrol,Manual,273193,4,8536
Hyundai,Elantra,2003,4.4,Hybrid,Semi-Automatic,169451,2,7010
BMW,X5,2020,2.2,Electric,Automatic,286174,5,10076
Chevrolet,Malibu,2004,4.9,Diesel,Manual,242712,4,5345
Hyundai,Elantra,2014,3.4,Electric,Manual,227371,5,9152
Kia,Optima,2002,1.7,Diesel,Manual,79442,2,4811
Toyota,Corolla,2005,3.2,Petrol,Automatic,29885,2,9702
Volkswagen,Tiguan,2008,4.3,Diesel,Semi-Automatic,261478,5,5570
Kia,Optima,2010,1.2,Petrol,Automatic,170847,4,6383
BMW,X5,2001,4.1,Electric,Semi-Automatic,87221,4,8755
Mercedes,C-Class,2014,2.9,Petrol,Manual,217980,4,6840
Volkswagen,Passat,2010,4.1,Electric,Automatic,71288,2,13274
BMW,5 Series,2016,4.5,Diesel,Manual,91092,1,11578
Honda,Civic,2020,4.4,Petrol,Semi-Automatic,24913,3,14001
Kia,Sportage,2000,4.2,Hybrid,Semi-Automatic,155444,5,6191
Mercedes,E-Class,2014,2.5,Electric,Semi-Automatic,171683,2,9366
Honda,CR-V,2015,4.8,Diesel,Automatic,295428,5,8991
Volkswagen,Golf,2010,3.9,Petrol,Automatic,207380,5,8352
Mercedes,C-Class,2012,1.5,Electric,Automatic,89226,5,10915
BMW,3 Series,2001,4.6,Hybrid,Manual,79217,4,8415
Mercedes,E-Class,2010,3.3,Diesel,Automatic,297971,3,5940
Ford,Fiesta,2011,3.5,Diesel,Semi-Automatic,178950,3,7321
Audi,A3,2017,3.4,Electric,Automatic,148880,5,13122
Honda,Accord,2013,1.7,Petrol,Semi-Automatic,23936,4,9221
Audi,Q5,2002,2.1,Electric,Manual,68076,1,7438
Chevrolet,Malibu,2015,2.9,Diesel,Automatic,144743,3,10105
Kia,Rio,2014,4.4,Diesel,Semi-Automatic,90279,5,10894
Audi,A3,2018,2.5,Diesel,Semi-Automatic,56429,1,10871
Audi,A3,2014,2.9,Diesel,Automatic,1197,5,12676
Mercedes,C-Class,2021,1.9,Petrol,Automatic,200177,2,9796
Chevrolet,Malibu,2022,3.0,Diesel,Manual,5679,4,13586
BMW,3 Series,2011,3.3,Hybrid,Manual,14586,1,11408
Kia,Sportage,2001,3.6,Hybrid,Semi-Automatic,202216,3,4955
BMW,5 Series,2002,4.8,Petrol,Manual,249673,1,4506
Chevrolet,Impala,2011,1.7,Diesel,Manual,39156,1,8316
Volkswagen,Golf,2010,4.5,Electric,Semi-Automatic,68014,2,12239
Ford,Focus,2008,2.4,Petrol,Manual,126868,3,6362
Mercedes,E-Class,2010,3.0,Electric,Manual,258632,5,6927
Ford,Fiesta,2021,4.3,Hybrid,Semi-Automatic,201170,5,11676
Audi,A3,2019,2.9,Hybrid,Manual,13569,3,13428
BMW,3 Series,2020,2.1,Diesel,Semi-Automatic,191301,1,8373
Kia,Sportage,2002,4.4,Petrol,Semi-Automatic,169424,3,5711
BMW,X5,2010,2.9,Petrol,Manual,63026,5,8739
Chevrolet,Malibu,2001,4.8,Electric,Semi-Automatic,145630,1,8287
Audi,Q5,2003,3.7,Diesel,Automatic,44024,4,9319
Audi,Q5,2022,1.2,Electric,Manual,122902,3,11441
Audi,A3,2012,4.0,Electric,Semi-Automatic,92692,2,11846
Chevrolet,Equinox,2020,2.9,Petrol,Automatic,22360,5,14052
Mercedes,E-Class,2018,3.4,Diesel,Manual,53596,1,11828
Honda,Accord,2000,3.6,Electric,Semi-Automatic,45737,1,8785
Kia,Sportage,2020,3.0,Hybrid,Automatic,98160,5,13636
Chevrolet,Impala,2018,4.0,Petrol,Manual,253702,4,8425
Ford,Explorer,2006,1.5,Hybrid,Semi-Automatic,94715,2,6505
Volkswagen,Passat,2005,1.4,Diesel,Semi-Automatic,1841,2,6963
Kia,Optima,2021,1.6,Diesel,Semi-Automatic,109050,5,9819
BMW,5 Series,2008,4.4,Hybrid,Semi-Automatic,236894,1,7162
Toyota,Corolla,2016,4.4,Electric,Automatic,256691,1,11666
Ford,Explorer,2006,1.6,Hybrid,Semi-Automatic,235768,2,3784
Mercedes,C-Class,2003,4.4,Hybrid,Manual,88089,3,8638
Honda,CR-V,2007,3.8,Electric,Automatic,160230,2,10295
Mercedes,E-Class,2000,1.1,Diesel,Manual,233776,3,2000
Chevrolet,Equinox,2015,1.3,Hybrid,Semi-Automatic,117006,5,8559
Ford,Fiesta,2005,4.7,Diesel,Semi-Automatic,295379,2,4392
Chevrolet,Impala,2019,2.5,Hybrid,Manual,299406,1,7311
Ford,Explorer,2011,1.4,Petrol,Semi-Automatic,182197,3,5156
Volkswagen,Tiguan,2015,1.4,Electric,Semi-Automatic,235687,2,7286
Volkswagen,Passat,2005,1.6,Electric,Automatic,293339,1,4833
Audi,A3,2008,3.5,Diesel,Manual,79861,1,8402
Mercedes,C-Class,2020,1.9,Petrol,Semi-Automatic,288000,5,6240
Kia,Rio,2022,1.6,Diesel,Automatic,295898,1,7882
Toyota,RAV4,2005,2.5,Hybrid,Semi-Automatic,239287,1,4314
Honda,CR-V,2016,4.4,Petrol,Automatic,7588,5,14648
Volkswagen,Tiguan,2002,3.4,Diesel,Automatic,152117,2,6557
Kia,Sportage,2019,4.4,Petrol,Manual,195296,4,10294
Chevrolet,Impala,2006,4.4,Diesel,Automatic,191716,3,7965
Honda,CR-V,2000,3.6,Petrol,Manual,230409,3,3091
Honda,Civic,2014,1.1,Diesel,Automatic,106397,2,8772
Volkswagen,Passat,2007,3.7,Electric,Manual,295514,4,5989
Kia,Sportage,2001,3.1,Hybrid,Automatic,232603,4,5347
Mercedes,E-Class,2000,2.5,Diesel,Manual,18150,5,6237
Volkswagen,Passat,2000,1.8,Petrol,Automatic,222084,3,2958
Toyota,Corolla,2016,3.7,Petrol,Manual,59160,2,11416
Chevrolet,Equinox,2016,2.3,Petrol,Semi-Automatic,73775,4,9724
Mercedes,E-Class,2007,2.4,Electric,Automatic,89733,1,10305
Hyundai,Tucson,2002,2.6,Petrol,Semi-Automatic,11401,4,7071
Chevrolet,Impala,2019,4.4,Diesel,Semi-Automatic,233465,1,9530
Volkswagen,Golf,2016,4.3,Petrol,Semi-Automatic,240885,2,8382
Mercedes,GLA,2006,3.5,Electric,Semi-Automatic,25049,5,10899
Chevrolet,Equinox,2003,2.0,Hybrid,Semi-Automatic,110430,1,5791
Hyundai,Elantra,2018,3.7,Electric,Semi-Automatic,205909,2,11081
Ford,Explorer,2011,1.4,Hybrid,Semi-Automatic,161912,4,6561
Mercedes,C-Class,2002,3.6,Hybrid,Automatic,54815,5,9703
Hyundai,Elantra,2019,3.3,Electric,Manual,128619,5,12527
Honda,Civic,2019,4.0,Hybrid,Manual,121403,2,12371
Toyota,Corolla,2019,4.2,Electric,Semi-Automatic,253093,4,10938
Chevrolet,Malibu,2022,4.8,Petrol,Semi-Automatic,97890,2,13542
Toyota,Camry,2016,1.2,Diesel,Manual,157466,1,6950
Kia,Rio,2004,3.6,Petrol,Semi-Automatic,168226,4,5535
Audi,A3,2009,1.2,Petrol,Automatic,275586,5,3988
Ford,Focus,2015,1.9,Electric,Manual,50573,5,11488
Volkswagen,Tiguan,2006,2.6,Electric,Manual,219205,5,6115
Hyundai,Elantra,2008,2.7,Electric,Automatic,1708,2,12665
